부재ID,유형,층,구역,X(mm),Y(mm),Z_bot(mm),Z_top(mm),단면,길이(mm),각도(°),높이(mm),체적(m³),면적(m²),레이어
BM-B2F-0137,BEAM,B2F,DONG,121695.6,2276650.3,-9050.0,-5600.0,,7249.9,14.0,3450.0,1.16,0.0,S-GIRDER
BM-B2F-0138,BEAM,B2F,DONG,121840.7,2276068.2,-9050.0,-5600.0,,7249.9,14.0,3450.0,1.16,0.0,S-GIRDER
BM-B2F-0139,BEAM,B2F,DONG,118922.2,2272789.7,-9050.0,-5600.0,,4950.0,104.0,3450.0,0.792,0.0,S-GIRDER
BM-B2F-0140,BEAM,B2F,DONG,124780.8,2279259.9,-9050.0,-5600.0,,3571.3,104.0,3450.0,0.571,0.0,S-GIRDER
BM-B2F-0141,BEAM,B2F,DONG,117052.0,2278223.7,-9050.0,-5600.0,,5400.0,104.0,3450.0,0.864,0.0,S-GIRDER
BM-B2F-0142,BEAM,B2F,DONG,120488.3,2281492.5,-9050.0,-5600.0,,7472.0,0.0,3450.0,1.196,0.0,S-GIRDER
BM-B2F-0143,BEAM,B2F,DONG,120612.9,2280992.5,-9050.0,-5600.0,,7471.8,0.0,3450.0,1.195,0.0,S-GIRDER
BM-B2F-0144,BEAM,B2F,DONG,115346.5,2285064.3,-9050.0,-5600.0,,7700.0,104.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0145,BEAM,B2F,DONG,115826.3,2285206.7,-9050.0,-5600.0,,7655.8,104.0,3450.0,1.225,0.0,S-GIRDER
BM-B2F-0146,BEAM,B2F,DONG,123079.5,2286083.7,-9050.0,-5600.0,,9463.4,104.0,3450.0,1.514,0.0,S-GIRDER
BM-B2F-0147,BEAM,B2F,DONG,123550.9,2286259.6,-9050.0,-5600.0,,9350.0,104.0,3450.0,1.496,0.0,S-GIRDER
BM-B2F-0148,BEAM,B2F,DONG,118417.5,2289797.8,-9050.0,-5600.0,,7249.9,14.0,3450.0,1.16,0.0,S-GIRDER
BM-B2F-0149,BEAM,B2F,DONG,126060.3,2291703.4,-9050.0,-5600.0,,7503.8,14.0,3450.0,1.201,0.0,S-GIRDER
BM-B2F-0150,BEAM,B2F,DONG,125937.7,2292188.1,-9050.0,-5600.0,,7700.0,14.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0151,BEAM,B2F,DONG,131301.1,2288190.0,-9050.0,-5600.0,,9356.7,102.6,3450.0,1.497,0.0,S-GIRDER
BM-B2F-0152,BEAM,B2F,DONG,130717.6,2288050.3,-9050.0,-5600.0,,9345.4,102.6,3450.0,1.495,0.0,S-GIRDER
BM-B2F-0153,BEAM,B2F,DONG,132584.2,2293845.3,-9050.0,-5600.0,,5200.0,14.0,3450.0,0.832,0.0,S-GIRDER
BM-B2F-0154,BEAM,B2F,DONG,138017.9,2295200.1,-9050.0,-5600.0,,5200.0,14.0,3450.0,0.832,0.0,S-GIRDER
BM-B2F-0155,BEAM,B2F,DONG,144664.4,2296857.2,-9050.0,-5600.0,,7700.0,14.0,3450.0,1.232,0.0,S-GIRDER
BM-B2F-0156,BEAM,B2F,DONG,152354.0,2298774.5,-9050.0,-5600.0,,7350.0,14.0,3450.0,1.176,0.0,S-GIRDER
BM-B2F-0157,BEAM,B2F,DONG,154994.5,2303374.9,-9050.0,-5600.0,,7650.0,104.0,3450.0,1.224,0.0,S-GIRDER
BM-B2F-0158,BEAM,B2F,DONG,155479.6,2303495.9,-9050.0,-5600.0,,7650.0,104.0,3450.0,1.224,0.0,S-GIRDER
BM-B2F-0159,BEAM,B2F,DONG,152618.8,2307240.0,-9050.0,-5600.0,,11960.0,14.0,3450.0,1.914,0.0,S-GIRDER
BM-B2F-0160,BEAM,B2F,DONG,150503.3,2306197.2,-9050.0,-5600.0,,7350.0,14.0,3450.0,1.176,0.0,S-GIRDER
BM-B2F-0161,BEAM,B2F,DONG,156548.2,2307704.4,-9050.0,-5600.0,,4110.0,14.0,3450.0,0.658,0.0,S-GIRDER
BM-B2F-0162,BEAM,B2F,DONG,161242.2,2308874.7,-9050.0,-5600.0,,4565.3,14.0,3450.0,0.73,0.0,S-GIRDER
BM-B2F-0163,BEAM,B2F,DONG,160963.7,2309320.6,-9050.0,-5600.0,,4240.6,14.0,3450.0,0.678,0.0,S-GIRDER
BM-B2F-0164,BEAM,B2F,DONG,159467.5,2306557.0,-9050.0,-5600.0,,3639.1,104.0,3450.0,0.582,0.0,S-GIRDER
BM-B2F-0165,BEAM,B2F,DONG,158978.4,2306452.0,-9050.0,-5600.0,,3606.1,104.0,3450.0,0.577,0.0,S-GIRDER
BM-B2F-0166,BEAM,B2F,DONG,157950.8,2312640.3,-9050.0,-5600.0,,7900.0,104.0,3450.0,1.264,0.0,S-GIRDER
BM-B2F-0167,BEAM,B2F,DONG,157465.6,2312519.4,-9050.0,-5600.0,,7900.0,104.0,3450.0,1.264,0.0,S-GIRDER
BM-B2F-0168,BEAM,B2F,DONG,158503.9,2317364.5,-9050.0,-5600.0,,3360.9,14.0,3450.0,0.538,0.0,S-GIRDER
BM-B2F-0169,BEAM,B2F,DONG,158882.0,2316943.4,-9050.0,-5600.0,,3889.1,14.0,3450.0,0.622,0.0,S-GIRDER
BM-B2F-0170,BEAM,B2F,DONG,161146.1,2318023.2,-9050.0,-5600.0,,401.0,14.0,3450.0,0.064,0.0,S-GIRDER
BM-B2F-0171,BEAM,B2F,DONG,154394.7,2316339.9,-9050.0,-5600.0,,4109.1,14.0,3450.0,0.657,0.0,S-GIRDER
BM-B2F-0172,BEAM,B2F,DONG,154564.6,2315867.0,-9050.0,-5600.0,,4010.0,14.0,3450.0,0.642,0.0,S-GIRDER
BM-B2F-0173,BEAM,B2F,DONG,148422.6,2314335.6,-9050.0,-5600.0,,7250.0,14.0,3450.0,1.16,0.0,S-GIRDER
BM-B2F-0174,BEAM,B2F,DONG,156577.5,2318144.6,-9050.0,-5600.0,,2446.1,104.0,3450.0,0.391,0.0,S-GIRDER
BM-B2F-0175,BEAM,B2F,DONG,156006.0,2318370.1,-9050.0,-5600.0,,3160.2,104.0,3450.0,0.506,0.0,S-GIRDER
BM-B2F-0176,BEAM,B2F,DONG,151439.5,2319699.8,-9050.0,-5600.0,,7950.0,104.0,3450.0,1.272,0.0,S-GIRDER
