부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
COL-B2F-0458,column,0.3881,0.0,6.21,0.0
COL-B2F-0459,column,1.4376,0.0,9.405,0.0
COL-B2F-0460,column,0.3881,0.0,6.21,0.0
COL-B2F-0461,column,0.3881,0.0,6.21,0.0
COL-B2F-0462,column,4.242,0.0,15.394,0.0
COL-B2F-0463,column,1.4934,0.0,9.08,0.0
COL-B2F-0464,column,1.0005,0.0,7.452,0.0
COL-B2F-0465,column,0.6624,0.0,6.072,0.0
COL-B2F-0466,column,0.3814,0.0,4.616,0.0
COL-B2F-0467,column,0.1339,0.0,2.719,0.0
COL-B2F-0468,column,4.242,0.0,15.394,0.0
COL-B2F-0469,column,1.4934,0.0,9.08,0.0
COL-B2F-0470,column,4.242,0.0,15.394,0.0
COL-B2F-0471,column,1.4934,0.0,9.08,0.0
COL-B2F-0472,column,1.0005,0.0,7.452,0.0
COL-B2F-0473,column,0.6624,0.0,6.072,0.0
COL-B2F-0474,column,0.3814,0.0,4.616,0.0
COL-B2F-0475,column,0.1339,0.0,2.719,0.0
COL-B2F-0476,column,4.242,0.0,15.394,0.0
COL-B2F-0477,column,1.4934,0.0,9.08,0.0
COL-B2F-0478,column,4.242,0.0,15.394,0.0
