부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
COL-sheet_1-0394,column,9.8821,0.0,23.569,0.0
COL-sheet_1-0395,column,7.5782,0.0,20.629,0.0
COL-sheet_1-0396,column,3.15,0.0,14.7,0.0
COL-sheet_1-0397,column,5.145,0.0,19.6,0.0
COL-sheet_1-0398,column,5.292,0.0,17.815,0.0
COL-sheet_1-0399,column,7.7009,0.0,20.769,0.0
COL-sheet_1-0400,column,7.7009,0.0,20.769,0.0
COL-sheet_1-0401,column,7.7009,0.0,20.769,0.0
COL-sheet_1-0402,column,7.7009,0.0,20.769,0.0
COL-sheet_1-0403,column,9.7613,0.0,24.598,0.0
COL-sheet_1-0404,column,8.0138,0.0,22.05,0.0
COL-sheet_1-0405,column,5.292,0.0,17.815,0.0
COL-sheet_1-0406,column,5.292,0.0,17.815,0.0
COL-sheet_1-0407,column,3.9951,0.0,15.267,0.0
COL-sheet_1-0408,column,3.9951,0.0,15.267,0.0
COL-sheet_1-0409,column,3.9951,0.0,15.267,0.0
COL-sheet_1-0410,column,10.0205,0.0,23.695,0.0
COL-sheet_1-0411,column,4.2,0.0,18.2,0.0
COL-sheet_1-0412,column,4.9,0.0,18.9,0.0
COL-sheet_1-0413,column,4.9,0.0,18.9,0.0
COL-sheet_1-0414,column,4.2,0.0,18.2,0.0
COL-sheet_1-0415,column,4.2,0.0,16.1,0.0
COL-sheet_1-0416,column,4.2,0.0,16.1,0.0
COL-sheet_1-0417,column,4.2,0.0,16.1,0.0
COL-sheet_1-0418,column,4.48,0.0,16.8,0.0
COL-sheet_1-0419,column,7.4456,0.0,20.629,0.0
COL-sheet_1-0420,column,7.4456,0.0,20.629,0.0
COL-sheet_1-0421,column,7.4456,0.0,20.629,0.0
COL-sheet_1-0422,column,7.4456,0.0,20.629,0.0
COL-sheet_1-0423,column,7.6401,0.0,20.699,0.0
COL-sheet_1-0424,column,14.5718,0.0,28.588,0.0
COL-sheet_1-0425,column,7.6401,0.0,20.699,0.0
COL-sheet_1-0426,column,7.6401,0.0,20.699,0.0
COL-sheet_1-0427,column,2.1,0.0,11.2,0.0
COL-sheet_1-0428,column,3.9951,0.0,15.267,0.0
COL-sheet_1-0429,column,3.9951,0.0,15.267,0.0
COL-sheet_1-0430,column,1.89,0.0,10.5,0.0
COL-sheet_1-0431,column,1.89,0.0,10.5,0.0
COL-sheet_1-0432,column,2.52,0.0,12.6,0.0
COL-sheet_1-0433,column,3.78,0.0,16.8,0.0
COL-sheet_1-0434,column,2.94,0.0,14.0,0.0
COL-sheet_1-0435,column,2.1,0.0,11.2,0.0
COL-sheet_1-0436,column,2.52,0.0,12.6,0.0
COL-sheet_1-0437,column,2.1,0.0,11.2,0.0
COL-sheet_1-0438,column,2.1,0.0,11.2,0.0
COL-sheet_1-0439,column,2.52,0.0,12.6,0.0
COL-sheet_1-0440,column,3.78,0.0,16.8,0.0
COL-sheet_1-0441,column,4.62,0.0,19.6,0.0
COL-sheet_1-0442,column,5.25,0.0,17.5,0.0
COL-sheet_1-0443,column,5.25,0.0,17.5,0.0
COL-sheet_1-0444,column,2.94,0.0,14.0,0.0
COL-sheet_1-0445,column,5.25,0.0,17.5,0.0
COL-sheet_1-0446,column,5.25,0.0,17.5,0.0
COL-sheet_1-0447,column,3.465,0.0,14.0,0.0
COL-sheet_1-0448,column,5.915,0.0,18.2,0.0
COL-sheet_1-0449,column,5.915,0.0,18.2,0.0
COL-sheet_1-0450,column,3.78,0.0,16.8,0.0
COL-sheet_1-0451,column,2.45,0.0,11.9,0.0
COL-sheet_1-0452,column,2.52,0.0,12.6,0.0
COL-sheet_1-0453,column,2.52,0.0,12.6,0.0
COL-sheet_1-0454,column,1.7752,0.0,10.178,0.0
COL-sheet_1-0455,column,1.12,0.0,8.4,0.0
COL-sheet_1-0456,column,1.12,0.0,8.4,0.0
