부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
WL-S30-007-0114,wall,2.59,12.95,25.9,3.7
WL-S30-007-0115,wall,0.196,0.98,1.96,0.28
WL-S30-007-0116,wall,0.854,4.27,8.54,1.22
WL-S30-007-0117,wall,1.771,8.855,17.71,2.53
WL-S30-007-0118,wall,0.0364,0.368,0.735,0.105
WL-S30-007-0119,wall,1.4209,7.14,14.28,2.04
WL-S30-007-0120,wall,0.4597,2.31,4.62,0.66
WL-S30-007-0121,wall,1.3157,7.35,14.7,2.1
WL-S30-007-0122,wall,0.392,0.35,0.7,0.1
WL-S30-007-0123,wall,0.455,0.35,0.7,0.1
WL-S30-007-0124,wall,0.6132,5.11,10.22,1.46
WL-S30-007-0125,wall,0.579,0.63,1.26,0.18
WL-S30-007-0126,wall,0.6433,0.7,1.4,0.2
WL-S30-007-0127,wall,0.238,1.19,2.38,0.34
WL-S30-007-0128,wall,0.8533,0.7,1.4,0.2
WL-S30-007-0129,wall,0.9333,4.69,9.38,1.34
WL-S30-007-0130,wall,0.567,0.7,1.4,0.2
WL-S30-007-0131,wall,0.5642,2.835,5.67,0.81
WL-S30-007-0132,wall,0.592,2.975,5.95,0.85
WL-S30-007-0133,wall,6.5406,5.845,11.69,1.67
WL-S30-007-0134,wall,1.0713,5.985,11.97,1.71
WL-S30-007-0135,wall,1.0517,5.285,10.57,1.51
WL-S30-007-0136,wall,0.504,0.7,1.4,0.2
WL-S30-007-0137,wall,0.5015,2.52,5.04,0.72
WL-S30-007-0138,wall,1.7263,2.66,5.32,0.76
WL-S30-007-0139,wall,0.3831,1.925,3.85,0.55
WL-S30-007-0140,wall,1.554,7.77,15.54,2.22
WL-S30-007-0141,wall,0.805,4.025,8.05,1.15
WL-S30-007-0142,wall,0.7133,0.7,1.4,0.2
WL-S30-007-0143,wall,0.1497,0.752,1.505,0.215
WL-S30-007-0144,wall,0.7662,3.85,7.7,1.1
WL-S30-007-0145,wall,0.39,1.96,3.92,0.56
WL-S30-007-0146,wall,0.9472,4.76,9.52,1.36
WL-S30-007-0147,wall,0.1393,0.7,1.4,0.2
WL-S30-007-0148,wall,2.59,12.95,25.9,3.7
WL-S30-007-0149,wall,0.196,0.98,1.96,0.28
WL-S30-007-0150,wall,0.854,4.27,8.54,1.22
WL-S30-007-0151,wall,1.7621,8.855,17.71,2.53
WL-S30-007-0152,wall,0.0364,0.368,0.735,0.105
WL-S30-007-0153,wall,1.4209,7.14,14.28,2.04
WL-S30-007-0154,wall,0.4597,2.31,4.62,0.66
WL-S30-007-0155,wall,1.3157,7.35,14.7,2.1
WL-S30-007-0156,wall,0.392,0.35,0.7,0.1
WL-S30-007-0157,wall,0.4547,0.35,0.7,0.1
WL-S30-007-0158,wall,0.6132,5.11,10.22,1.46
WL-S30-007-0159,wall,0.579,0.63,1.26,0.18
WL-S30-007-0160,wall,0.6433,0.7,1.4,0.2
WL-S30-007-0161,wall,0.2368,1.19,2.38,0.34
WL-S30-007-0162,wall,0.8533,0.7,1.4,0.2
WL-S30-007-0163,wall,0.9333,4.69,9.38,1.34
WL-S30-007-0164,wall,0.5663,0.7,1.4,0.2
WL-S30-007-0165,wall,0.567,2.835,5.67,0.81
WL-S30-007-0166,wall,0.592,2.975,5.95,0.85
WL-S30-007-0167,wall,1.0206,5.67,11.34,1.62
WL-S30-007-0168,wall,4.0464,3.115,6.23,0.89
WL-S30-007-0169,wall,0.3134,1.575,3.15,0.45
WL-S30-007-0170,wall,0.6895,3.465,6.93,0.99
WL-S30-007-0171,wall,0.714,0.7,1.4,0.2
WL-S30-007-0172,wall,0.7623,0.7,1.4,0.2
WL-S30-007-0173,wall,0.2905,1.453,2.905,0.415
WL-S30-007-0174,wall,1.0099,5.075,10.15,1.45
WL-S30-007-0175,wall,0.2933,0.7,1.4,0.2
WL-S30-007-0176,wall,1.092,5.46,10.92,1.56
WL-S30-007-0177,wall,1.4105,7.053,14.105,2.015
WL-S30-007-0178,wall,1.183,5.915,11.83,1.69
WL-S30-007-0179,wall,4.7815,24.027,48.055,6.865
WL-S30-007-0180,wall,0.2229,1.12,2.24,0.32
WL-S30-007-0181,wall,0.805,0.7,1.4,0.2
WL-S30-007-0182,wall,0.4527,2.275,4.55,0.65
WL-S30-007-0183,wall,0.6083,0.7,1.4,0.2
WL-S30-007-0184,wall,0.805,4.025,8.05,1.15
WL-S30-007-0185,wall,0.532,0.7,1.4,0.2
WL-S30-007-0186,wall,0.609,3.045,6.09,0.87
WL-S30-007-0187,wall,0.5293,2.66,5.32,0.76
WL-S30-007-0188,wall,0.989,4.97,9.94,1.42
WL-S30-007-0189,wall,1.5624,8.68,17.36,2.48
WL-S30-007-0190,wall,0.579,0.63,1.26,0.18
WL-S30-007-0191,wall,1.3157,7.35,14.7,2.1
WL-S30-007-0192,wall,0.3169,1.592,3.185,0.455
WL-S30-007-0193,wall,0.9905,4.952,9.905,1.415
WL-S30-007-0194,wall,0.203,1.015,2.03,0.29
WL-S30-007-0195,wall,1.8515,9.257,18.515,2.645
WL-S30-007-0196,wall,1.463,7.315,14.63,2.09
WL-S30-007-0197,wall,2.2619,11.366,22.733,3.248
WL-S30-007-0198,wall,0.854,0.7,1.4,0.2
WL-S30-007-0199,wall,10.5561,9.03,18.06,2.58
WL-S30-007-0200,wall,0.6993,0.7,1.4,0.2
WL-S30-007-0201,wall,0.505,2.538,5.075,0.725
WL-S30-007-0202,wall,0.5746,2.887,5.775,0.825
WL-S30-007-0203,wall,1.68,8.4,16.8,2.4
WL-S30-007-0204,wall,0.434,0.7,1.4,0.2
WL-S30-007-0205,wall,0.28,1.4,2.8,0.4
WL-S30-007-0206,wall,2.758,13.79,27.58,3.94
WL-S30-007-0207,wall,1.68,8.4,16.8,2.4
WL-S30-007-0208,wall,0.0,0.0,0.0,0.0
WL-S30-007-0209,wall,0.5775,2.887,5.775,0.825
WL-S30-007-0210,wall,2.187,10.99,21.98,3.14
WL-S30-007-0211,wall,0.2415,1.208,2.415,0.345
WL-S30-007-0212,wall,0.0,0.0,0.0,0.0
WL-S30-007-0213,wall,0.203,1.015,2.03,0.29
WL-S30-007-0214,wall,0.4375,2.188,4.375,0.625
WL-S30-007-0215,wall,5.3235,4.55,9.1,1.3
WL-S30-007-0216,wall,0.763,3.815,7.63,1.09
WL-S30-007-0217,wall,2.3402,11.76,23.52,3.36
WL-S30-007-0218,wall,0.434,0.7,1.4,0.2
WL-S30-007-0219,wall,0.7,0.7,1.4,0.2
WL-S30-007-0220,wall,0.9194,4.62,9.24,1.32
WL-S30-007-0221,wall,0.9065,4.533,9.065,1.295
WL-S30-007-0222,wall,0.875,4.375,8.75,1.25
WL-S30-007-0223,wall,0.1811,0.91,1.82,0.26
WL-S30-007-0224,wall,0.763,3.815,7.63,1.09
WL-S30-007-0225,wall,0.112,0.56,1.12,0.16
WL-S30-007-0226,wall,0.2572,1.286,2.572,0.367
WL-S30-007-0227,wall,5.1576,25.788,51.576,7.368
WL-S30-007-0228,wall,0.1114,0.56,1.12,0.16
WL-S30-007-0229,wall,0.101,0.507,1.015,0.145
WL-S30-007-0230,wall,0.0666,0.56,1.12,0.16
WL-S30-007-0231,wall,1.7115,8.557,17.115,2.445
WL-S30-007-0232,wall,4.1084,20.542,41.084,5.869
WL-S30-007-0233,wall,1.0395,5.197,10.395,1.485
WL-S30-007-0234,wall,3.922,19.61,39.22,5.603
WL-S30-007-0235,wall,0.1657,0.833,1.666,0.238
WL-S30-007-0236,wall,0.6966,0.56,1.12,0.16
WL-S30-007-0237,wall,0.9855,4.952,9.905,1.415
WL-S30-007-0238,wall,0.202,1.015,2.03,0.29
WL-S30-007-0239,wall,1.8515,9.258,18.515,2.645
WL-S30-007-0240,wall,2.5736,12.933,25.865,3.695
WL-S30-007-0241,wall,1.463,7.315,14.63,2.09
WL-S30-007-0242,wall,2.7442,13.79,27.58,3.94
WL-S30-007-0243,wall,2.2619,11.366,22.733,3.248
WL-S30-007-0244,wall,0.854,0.7,1.4,0.2
WL-S30-007-0245,wall,0.7,0.7,1.4,0.2
WL-S30-007-0246,wall,0.5075,2.538,5.075,0.725
WL-S30-007-0247,wall,0.5775,2.887,5.775,0.825
WL-S30-007-0248,wall,1.68,8.4,16.8,2.4
WL-S30-007-0249,wall,0.2786,1.4,2.8,0.4
WL-S30-007-0250,wall,0.4333,0.7,1.4,0.2
WL-S30-007-0251,wall,0.6594,5.495,10.99,1.57
WL-S30-007-0252,wall,0.7133,0.7,1.4,0.2
WL-S30-007-0253,wall,0.3657,1.838,3.675,0.525
WL-S30-007-0254,wall,0.0017,0.017,0.035,0.005
WL-S30-007-0255,wall,0.3917,0.35,0.7,0.1
WL-S30-007-0256,wall,0.455,0.35,0.7,0.1
WL-S30-007-0257,wall,0.56,0.7,1.4,0.2
WL-S30-007-0258,wall,0.5593,0.7,1.4,0.2
WL-S30-007-0259,wall,0.5593,0.7,1.4,0.2
WL-S30-007-0260,wall,0.56,0.7,1.4,0.2
WL-S30-007-0261,wall,3.6679,18.432,36.863,5.266
WL-S30-008-0262,wall,0.0,0.0,0.0,0.0
WL-S30-008-0263,wall,1.7776,2.091,4.182,0.597
WL-S30-008-0264,wall,0.1855,0.927,1.855,0.265
WL-S30-008-0265,wall,0.0,0.0,0.0,0.0
WL-S30-008-0266,wall,0.0,0.0,0.0,0.0
WL-S30-008-0267,wall,0.0,0.0,0.0,0.0
WL-S30-008-0268,wall,0.0697,0.35,0.7,0.1
WL-S30-008-0269,wall,0.854,0.7,1.4,0.2
WL-S30-008-0270,wall,0.0,0.0,0.0,0.0
